model,pooling,layer,n_prompts,n_nan_at_layer,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
llama,mean_pool_hs,3,45,0,False,0.039335898315235755,0.010354568134061992,0.14382574558258054,0.030641790456773402,-0.011997942500760727,0.42048917922079576,1000
llama,mean_pool_hs,4,45,0,False,0.07354965222372051,0.02750674095004797,0.1851598173379898,0.05164350894787838,-0.03578018677681746,0.42048917922079576,1000
llama,mean_pool_hs,5,45,0,False,0.05303195611899622,0.013199125532992184,0.16688644625246524,0.028992575330326228,-0.045360648820057456,0.42048917922079576,1000
llama,mean_pool_hs,6,45,0,False,0.056315505400660715,0.004253256029915065,0.1754916541278362,0.03577016611524714,-0.03636469140998645,0.42048917922079576,1000
llama,mean_pool_hs,7,45,0,False,0.08063859632530285,0.02665457292459905,0.20443314127624032,0.06958396433953185,-0.008505784013083832,0.42048917922079576,1000
llama,mean_pool_hs,8,45,0,False,0.09964208701058146,0.0449398142285645,0.21776110269129267,0.10086313913184564,0.024938177462788515,0.42048917922079576,1000
llama,mean_pool_hs,9,45,0,False,0.10532546530702595,0.05395860616117716,0.21467042528092858,0.11372833201231136,0.043418266518919016,0.42048917922079576,1000
llama,mean_pool_hs,10,45,0,False,0.11607303713646791,0.057907015550881624,0.23320861645042895,0.13343340176128388,0.06744626848565083,0.42048917922079576,1000
llama,mean_pool_hs,11,45,0,False,0.15293707540180732,0.08352849371731282,0.2730795621871948,0.17204928377590822,0.08023320194564455,0.42048917922079576,1000
llama,mean_pool_hs,12,45,0,False,0.15746409877646783,0.0867671623826027,0.28019304051995275,0.18439851792096668,0.10048987855161196,0.42048917922079576,1000
llama,mean_pool_hs,13,45,0,False,0.1573245785312116,0.0931323666125536,0.2748120591044426,0.17874619368633407,0.08691337963346354,0.42048917922079576,1000
llama,mean_pool_hs,14,45,0,False,0.14391239834218103,0.08947495184838772,0.25166672244668004,0.17179667795657574,0.09958489871985247,0.42048917922079576,1000
llama,mean_pool_hs,15,45,0,False,0.14620493311784657,0.08836088515818119,0.25447509959340087,0.17583724997403558,0.10442875265950292,0.42048917922079576,1000
llama,mean_pool_hs,16,45,0,False,0.10824082259051922,0.060543783195316794,0.21437408663332463,0.12072826984998705,0.05390006936374666,0.42048917922079576,1000
llama,mean_pool_hs,17,45,0,False,0.11604320514195399,0.06477075852453709,0.2244529142975807,0.1287104041359843,0.05610254182931085,0.42048917922079576,1000
llama,mean_pool_hs,18,45,0,False,0.08050240010921915,0.035171011276543145,0.1874992754310369,0.09745794568206592,0.05836734007742864,0.42048917922079576,1000
llama,mean_pool_hs,19,45,0,False,0.061029320593507415,0.015611153747886419,0.17043874524533748,0.07913847886191243,0.05673370807223807,0.42048917922079576,1000
llama,mean_pool_hs,20,45,0,False,0.060208320790160544,0.015675150975584983,0.17006250582635402,0.07595037604014354,0.05087946994987099,0.42048917922079576,1000
llama,mean_pool_hs,21,45,0,False,0.06205668425791559,0.014043991640210153,0.17278826385736465,0.07813077286960013,0.05209012499683629,0.42048917922079576,1000
llama,mean_pool_hs,22,45,0,False,0.03817998000535139,-0.010936853615567088,0.150215757638216,0.054980071669330215,0.0484677887959634,0.42048917922079576,1000
llama,mean_pool_hs,23,45,0,False,0.042916897397790046,-0.011754748015664517,0.15707262493669985,0.0519310650417469,0.030943281406213934,0.42048917922079576,1000
llama,mean_pool_hs,24,45,0,False,0.049746061014663806,-0.0051795707433484476,0.1590936530381441,0.0601048868918278,0.03567067076237341,0.42048917922079576,1000
llama,mean_pool_hs,25,45,0,False,0.04836363215027181,-0.004899595747701823,0.15582665167748924,0.05752896395905181,0.03251441522607367,0.42048917922079576,1000
llama,mean_pool_hs,26,45,0,False,0.054290068763718745,-0.0018986207083798935,0.1642313227057457,0.06314084684781204,0.03308185357890092,0.42048917922079576,1000
llama,mean_pool_hs,27,45,0,False,0.05468254503541499,0.00022163668036228131,0.1603932552039623,0.06224205795300972,0.030086812567039843,0.42048917922079576,1000
llama,mean_pool_hs,28,45,0,False,0.06686817479301084,0.012606559856794776,0.17287317737936972,0.06989587301522386,0.02197724813623341,0.42048917922079576,1000
llama,mean_pool_hs,29,45,0,False,0.07388957121525837,0.01844739429652691,0.1803079258650541,0.07639656626716737,0.022291650445490405,0.42048917922079576,1000
llama,mean_pool_hs,30,45,0,False,0.08101052802670827,0.024381014704704284,0.1811519641429186,0.08500711132549134,0.027430228453514695,0.42048917922079576,1000
llama,mean_pool_hs,31,45,0,False,0.07932705096713276,0.020456839771941304,0.18290006853640078,0.08186463001540557,0.023571088299679462,0.42048917922079576,1000
llama,mean_pool_hs,32,45,0,False,0.08662267068609521,0.004475934116635472,0.219818377867341,0.11078094747516805,0.07710636058227008,0.42048917922079576,1000
mistral,last_token_hs,0,45,0,False,,,,,,0.42048917922079576,0
mistral,last_token_hs,1,45,0,False,0.17225424399291403,0.05631152391433716,0.326087000221014,0.1920880642353428,0.08653853083715549,0.42048917922079576,1000
mistral,last_token_hs,2,45,0,False,-0.02537927098906333,-0.08133939430117607,0.10416504349559541,0.037495619434942354,0.14336705689007853,0.42048917922079576,1000
mistral,last_token_hs,3,45,0,False,0.007794546749537282,-0.0397601617500186,0.1169634498655796,0.07555762167351808,0.1630965665898872,0.42048917922079576,1000
mistral,last_token_hs,4,45,0,False,0.030048615986330424,-0.015747356368228792,0.12935903668403625,0.0937226273902613,0.1588765599962428,0.42048917922079576,1000
mistral,last_token_hs,5,45,0,False,0.048454447232630565,-0.012886755936779081,0.15953116565942763,0.09166975838633713,0.11413959546554032,0.42048917922079576,1000
mistral,last_token_hs,6,45,0,False,0.041200639258941255,-0.012012212444096804,0.14152200371026993,0.0737949231061151,0.08693495929152736,0.42048917922079576,1000
mistral,last_token_hs,7,45,0,False,0.05117531434334623,-0.011504509462974965,0.16031393669545646,0.07705472253689584,0.07312384985722066,0.42048917922079576,1000
mistral,last_token_hs,8,45,0,False,0.060040111586612536,0.008777787326835096,0.16809742785990237,0.07541500351487805,0.049962738767237086,0.42048917922079576,1000
mistral,last_token_hs,9,45,0,False,0.06918974183536118,0.01944375769235194,0.1690542321652173,0.07647956608688712,0.03267002680959843,0.42048917922079576,1000
mistral,last_token_hs,10,45,0,False,0.09444975221814217,0.03116797246038914,0.20336808003485202,0.11167873033341748,0.06219085431966677,0.42048917922079576,1000
mistral,last_token_hs,11,45,0,False,0.13415430890954486,0.06924858540296555,0.23620132468640798,0.16732443127869862,0.11022451751704612,0.42048917922079576,1000
mistral,last_token_hs,12,45,0,False,0.26673047235483993,0.16410793103277682,0.37485505640506733,0.3412593472381458,0.2550871870797715,0.42048917922079576,1000
mistral,last_token_hs,13,45,0,False,0.2885221133511966,0.17638038620352745,0.4077420860528946,0.3654845914115155,0.2697100759796467,0.42048917922079576,1000
