model,pooling,layer,anisotropy,top1,top3,top5,top1_frac,top3_frac,top5_frac,skipped
deepseek,mean_pool_hs,3,0.999152660369873,0.8189724683761597,0.9741330742835999,0.9835017919540405,0.8196670047127602,0.9749591958479986,0.984335858736503,False
deepseek,mean_pool_hs,4,0.9990491271018982,0.8214542865753174,0.9752663373947144,0.9842828512191772,0.8222361286258679,0.9761945743587461,0.9852196699019639,False
deepseek,mean_pool_hs,5,0.9989381432533264,0.820135772228241,0.9749923348426819,0.9839783310890198,0.8210075646498345,0.9760287375425888,0.9850242857725047,False
deepseek,mean_pool_hs,6,0.9987160563468933,0.8159985542297363,0.9722777605056763,0.9823533296585083,0.8170475973065842,0.973527715236778,0.9836162374837182,False
deepseek,mean_pool_hs,7,0.9985100030899048,0.814167320728302,0.970289945602417,0.9812493920326233,0.8153822377430857,0.9717378319694742,0.982713632308271,False
deepseek,mean_pool_hs,8,0.998197078704834,0.8115732669830322,0.9679661989212036,0.9799633026123047,0.8130391125127844,0.9697145178757134,0.9817332904678626,False
deepseek,mean_pool_hs,9,0.9978378415107727,0.8101913332939148,0.9664321541786194,0.97869473695755,0.8119468911574326,0.9685262614568679,0.9808154153341798,False
deepseek,mean_pool_hs,10,0.9973217248916626,0.8102430105209351,0.9666106104850769,0.9777150750160217,0.81241889181643,0.9692064118928907,0.9803406971027622,False
deepseek,mean_pool_hs,11,0.9969131946563721,0.8109059929847717,0.9672489166259766,0.9781818389892578,0.813416852471578,0.970243870590337,0.9812106452522471,False
deepseek,mean_pool_hs,12,0.9964983463287354,0.8062513470649719,0.9635784029960632,0.9750030040740967,0.8090844807072035,0.9669643773580211,0.9784291240082524,False
deepseek,mean_pool_hs,13,0.9960042834281921,0.8072457909584045,0.9639736413955688,0.9750650525093079,0.8104842563326222,0.9678408591553687,0.9789767661974178,False
deepseek,mean_pool_hs,14,0.9952861070632935,0.80471271276474,0.9627761840820312,0.9741929769515991,0.8085240083769859,0.9673361029049361,0.9788069682054218,False
deepseek,mean_pool_hs,15,0.9945093393325806,0.7997958660125732,0.95862877368927,0.9708065986633301,0.8042115185658484,0.9639213386699916,0.9761663971047698,False
deepseek,mean_pool_hs,16,0.9929410815238953,0.7906872034072876,0.9511314630508423,0.9652851819992065,0.7963082786279697,0.9578931527247452,0.9721474918912163,False
deepseek,mean_pool_hs,17,0.9914544820785522,0.7843264937400818,0.943743109703064,0.9594389796257019,0.7910867396511907,0.9518773950414113,0.9677085503857616,False
deepseek,mean_pool_hs,18,0.9893343448638916,0.7678975462913513,0.9253183603286743,0.9460801482200623,0.7761759715286094,0.9352938823285021,0.9562794955331505,False
deepseek,mean_pool_hs,19,0.9862236976623535,0.7545846104621887,0.9090789556503296,0.9345000982284546,0.765125206634946,0.9217776431504534,0.9475538870577747,False
deepseek,mean_pool_hs,20,0.9819609522819519,0.7248647212982178,0.8746798634529114,0.9176590442657471,0.7381807999734864,0.8907481111344265,0.9345168381015809,False
deepseek,mean_pool_hs,21,0.9768327474594116,0.6857132315635681,0.8288434147834778,0.899605929851532,0.7019760888923927,0.8485008482149776,0.9209416168645713,False
deepseek,mean_pool_hs,22,0.9716896414756775,0.6574113965034485,0.8033281564712524,0.8829741477966309,0.6765651998770477,0.8267332717998936,0.9086997639037122,False
deepseek,mean_pool_hs,23,0.9643412828445435,0.5745646357536316,0.7674550414085388,0.864291250705719,0.595810472884478,0.7958334409834203,0.896250389858138,False
deepseek,mean_pool_hs,24,0.9595826268196106,0.5233153104782104,0.7542259693145752,0.852222740650177,0.5453572166189157,0.785993772953499,0.8881181430667816,False
deepseek,mean_pool_hs,25,0.9563997387886047,0.45846977829933167,0.7357142567634583,0.8381343483924866,0.4793704553705115,0.7692539290060125,0.8763431381255755,False
deepseek,mean_pool_hs,26,0.9528487920761108,0.41587594151496887,0.730920135974884,0.8280843496322632,0.4364553379018713,0.7670893241962574,0.8690616564964047,False
deepseek,mean_pool_hs,27,0.9509745240211487,0.3667432367801666,0.7220704555511475,0.8105356693267822,0.3856499070336932,0.7592952674461859,0.8523211178144628,False
deepseek,mean_pool_hs,28,0.9523607492446899,0.4099141061306,0.7413963675498962,0.7981163859367371,0.43041894204029274,0.7784827001090627,0.8380399828213385,False
deepseek,mean_pool_hs,29,0.9512572884559631,0.3598562180995941,0.6798272132873535,0.7496726512908936,0.3782953596956887,0.7146617655784984,0.7880861049776844,False
deepseek,mean_pool_hs,30,0.9734236001968384,0.3247543275356293,0.46588996052742004,0.49680328369140625,0.33362076640627975,0.47860968280737315,0.5103670011605907,False
deepseek_v2_lite,last_token_hs,0,1.0,0.2388131320476532,0.5055793523788452,0.6646753549575806,0.2388131320476532,0.5055793523788452,0.6646753549575806,False
deepseek_v2_lite,last_token_hs,1,0.9990693926811218,0.26912543177604675,0.6088962554931641,0.7535009384155273,0.26937611516034593,0.6094634266185639,0.75420280506584,False
deepseek_v2_lite,last_token_hs,2,0.9957221746444702,0.2839237451553345,0.5882974863052368,0.7067412734031677,0.28514353941822324,0.590824932180799,0.7097775779227924,False
deepseek_v2_lite,last_token_hs,3,0.9956438541412354,0.37300339341163635,0.6272668838500977,0.6991252303123474,0.374635359682263,0.630011304987293,0.7021840464383303,False
deepseek_v2_lite,last_token_hs,4,0.9917712211608887,0.3548661768436432,0.5969000458717346,0.6495324373245239,0.35781052048300516,0.6018525574608333,0.6549216426790776,False
deepseek_v2_lite,last_token_hs,5,0.992282509803772,0.42690497636795044,0.6660609245300293,0.7074248790740967,0.4302252354043534,0.6712412220807416,0.7129268853221982,False
deepseek_v2_lite,last_token_hs,6,0.985504686832428,0.33419954776763916,0.6072971820831299,0.6513253450393677,0.3391151277441518,0.6162296234582928,0.6609053754303625,False
deepseek_v2_lite,last_token_hs,7,0.9689406156539917,0.3410910964012146,0.5862951874732971,0.6304793357849121,0.35202476900092927,0.6050888754184115,0.6506893462809036,False
deepseek_v2_lite,last_token_hs,8,0.9717504978179932,0.31770166754722595,0.5950373411178589,0.6337958574295044,0.32693748885192836,0.6123355145729065,0.6522207694800821,False
deepseek_v2_lite,last_token_hs,9,0.9603109955787659,0.2540506422519684,0.5235915184020996,0.5592150688171387,0.2645503835961554,0.5452312019884125,0.5823270496659342,False
deepseek_v2_lite,last_token_hs,10,0.9566078186035156,0.30640605092048645,0.5392844676971436,0.5648970603942871,0.3203047737658961,0.5637466652576674,0.5905210572279668,False
deepseek_v2_lite,last_token_hs,11,0.9427804946899414,0.2801092863082886,0.5086604952812195,0.5296430587768555,0.2971097597860359,0.5395322645580466,0.5617883078404616,False
deepseek_v2_lite,last_token_hs,12,0.9416539669036865,0.29825106263160706,0.5291180610656738,0.552864670753479,0.31673106376040205,0.5619028641757877,0.5871208428839196,False
deepseek_v2_lite,last_token_hs,13,0.9331902265548706,0.25179797410964966,0.4744250774383545,0.5088969469070435,0.26982491559007366,0.5083905338248405,0.5453303436168391,False
deepseek_v2_lite,last_token_hs,14,0.9132744073867798,0.23223215341567993,0.4474867582321167,0.48645520210266113,0.2542851869463671,0.4899806176684004,0.5326495499798266,False
