model,pooling,layer,standardised,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
deepseek_v2_lite,mean_pool_hs,7,True,False,0.05656125432071048,0.015938998013734818,0.18016633540391921,0.05983126891008264,0.020271452478811125,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,8,True,False,0.05933043559440007,0.016410271171480417,0.18520578593015669,0.06275332626678423,0.02124934998063121,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,9,True,False,0.06266694500679179,0.018795943306759,0.1860775280743837,0.06875870159054034,0.02835745071764086,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,10,True,False,0.07063097457782942,0.02673446382395923,0.19046227522194376,0.0794362230419885,0.0366142171104731,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,11,True,False,0.07510986355847832,0.03204239620827139,0.19335612468421456,0.08477688637438426,0.03967652989415077,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,12,True,False,0.08559444256220138,0.03781746979802847,0.20073104761540886,0.10187234871140882,0.057892018143992696,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,13,True,False,0.08676199955284251,0.0365696064196527,0.20277112498879432,0.10296008286711017,0.05796460202984442,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,14,True,False,0.0818562686757374,0.03313898565247655,0.18971367552876467,0.09834077042517202,0.057542109150569114,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,15,True,False,0.08008832109430232,0.03199142506346107,0.1855090126395225,0.09894227256366181,0.06283616927133552,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,16,True,False,0.08228770088887039,0.029678371408954265,0.18971204236149786,0.10524877947799713,0.07322369134818695,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,17,True,False,0.08429953107870186,0.03043781956657767,0.18611598014831543,0.11149225597228625,0.08389547660723327,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,18,True,False,0.0875686960251922,0.029118856787681578,0.1896084737032652,0.12168204807054062,0.10140749850656708,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,19,True,False,0.0920851545333641,0.031135756289586425,0.19130833260715005,0.13056323658103408,0.1130838328731603,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,20,True,False,0.09292832049861098,0.030234339414164424,0.19124856032431126,0.13507248245359926,0.1222169609520275,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,21,True,False,0.0996563780098468,0.02999519337899983,0.19661532565951345,0.14641083643499925,0.1351336029226732,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,22,True,False,0.10331266103598724,0.02832635226659477,0.20131031125783921,0.15751832843222668,0.15435936635590958,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,23,True,False,0.10685941514925693,0.02934521893039346,0.2048103731125593,0.16727003219623604,0.1706064201863096,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,24,True,False,0.12206529496521111,0.035245226416736844,0.2245971653610468,0.19277670516549036,0.20041954945367765,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,25,True,False,0.11926006364168973,0.024109693057835103,0.21889251992106437,0.20557641575419594,0.2390277951822245,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,26,True,False,0.10884603078690554,0.011870181304402651,0.21238186694681643,0.21075021274731345,0.2754271978770728,0.42048917922079576,1000
deepseek_v2_lite,mean_pool_hs,27,True,False,0.0995429416008299,0.008394411497283729,0.19219346418976782,0.19747215899832762,0.26236323621853047,0.42048917922079576,1000
llama,last_token_hs,0,True,False,,,,,,0.42048917922079576,0
llama,last_token_hs,1,True,False,0.019698553459585696,-0.01566136395558715,0.12879716642200945,0.05463843966290971,0.08759962931388471,0.42048917922079576,1000
llama,last_token_hs,2,True,False,0.0578906724031158,0.005746136116795242,0.1682232655584812,0.11001867318357185,0.13792651806015763,0.42048917922079576,1000
llama,last_token_hs,3,True,False,0.06571183907656468,0.007408841804135591,0.16343015544116496,0.12665348814919733,0.16127344835016202,0.42048917922079576,1000
