model,pooling,layer,standardised,condition,mean_cos,ci_lo,ci_hi
deepseek,last_token_hs,24,True,DI,0.006373517215251923,0.00516984192663157,0.005285799809846344
deepseek,last_token_hs,24,True,II,-0.04684657230973244,-0.03540340065956116,-0.03539990114436359
deepseek,last_token_hs,24,True,SI,-0.015413586050271988,-0.006993188057092514,-0.006981495684563677
deepseek,last_token_hs,25,False,DI,0.7839692831039429,0.7620805056667107,0.7967375129446821
deepseek,last_token_hs,25,False,II,0.7596240043640137,0.7377900312306299,0.7708646477094446
deepseek,last_token_hs,25,False,SI,0.7685545682907104,0.7546558378934478,0.7780500201333875
deepseek,last_token_hs,25,True,DI,0.003485507797449827,0.001463922439146494,0.0014923908080326303
deepseek,last_token_hs,25,True,II,-0.04811956360936165,-0.03640276938676834,-0.036400987261028146
deepseek,last_token_hs,25,True,SI,-0.016414804384112358,-0.008303866721685222,-0.00827836460772975
deepseek,last_token_hs,26,False,DI,0.7757087349891663,0.7535417207039098,0.7877122292573959
deepseek,last_token_hs,26,False,II,0.7495652437210083,0.7300051732864561,0.7607552409433876
deepseek,last_token_hs,26,False,SI,0.7611269950866699,0.7483829484232681,0.7691445129079745
deepseek,last_token_hs,26,True,DI,-0.0008031618781387806,-0.0022992959711569195,-0.0022469538531171775
deepseek,last_token_hs,26,True,II,-0.04940700903534889,-0.03686627745628357,-0.03686143171293795
deepseek,last_token_hs,26,True,SI,-0.018109893426299095,-0.009071378037327884,-0.009066179889244621
deepseek,last_token_hs,27,False,DI,0.769595205783844,0.7463013814481352,0.781345500510905
deepseek,last_token_hs,27,False,II,0.7428464889526367,0.7267153943539303,0.7518145083901371
deepseek,last_token_hs,27,False,SI,0.7561997175216675,0.7453443937611295,0.7628509898147124
deepseek,last_token_hs,27,True,DI,-3.50258887920063e-05,-0.0016175677301202126,-0.0015629100204398673
deepseek,last_token_hs,27,True,II,-0.049380358308553696,-0.03716038540005684,-0.037154462990455994
deepseek,last_token_hs,27,True,SI,-0.01606602594256401,-0.006850188132375229,-0.006850037122658933
deepseek,last_token_hs,28,False,DI,0.7850255370140076,0.7654453267368627,0.7948655817421114
deepseek,last_token_hs,28,False,II,0.7606887817382812,0.7476586196123237,0.7662043209351418
deepseek,last_token_hs,28,False,SI,0.7753819823265076,0.7657175352926142,0.7809341661205698
deepseek,last_token_hs,28,True,DI,-0.002187900012359023,-0.0033676710445150033,-0.003296361761254009
deepseek,last_token_hs,28,True,II,-0.05029667913913727,-0.03674515709280968,-0.03673615877643226
deepseek,last_token_hs,28,True,SI,-0.017532402649521828,-0.008447135798626914,-0.008424436037139884
deepseek,last_token_hs,29,False,DI,0.786077082157135,0.767113247898281,0.7971165587027863
deepseek,last_token_hs,29,False,II,0.7638891339302063,0.7536876944357223,0.7673214127999196
deepseek,last_token_hs,29,False,SI,0.779876708984375,0.7713361084186847,0.7841307700733495
deepseek,last_token_hs,29,True,DI,-0.0022387870121747255,-0.003026671009124545,-0.0029695193156379493
deepseek,last_token_hs,29,True,II,-0.05008349195122719,-0.036533672362565994,-0.036525411538034236
deepseek,last_token_hs,29,True,SI,-0.015914946794509888,-0.006733121350404295,-0.006703223624798846
deepseek,last_token_hs,30,False,DI,0.8101281523704529,0.7949078402874599,0.8205354171516542
deepseek,last_token_hs,30,False,II,0.7875072956085205,0.7804548900233795,0.7901505320708212
deepseek,last_token_hs,30,False,SI,0.8018083572387695,0.7937170453224629,0.8033093652193353
deepseek,last_token_hs,30,True,DI,0.0007754903635941446,-0.0008868759614274491,-0.000813379097053668
deepseek,last_token_hs,30,True,II,-0.048836465924978256,-0.03598294034600257,-0.035962280230422375
deepseek,last_token_hs,30,True,SI,-0.012933929450809956,-0.003929495345776157,-0.0039080384287786644
deepseek,mean_pool_hs,0,False,DI,0.7515416741371155,0.7416786288483949,0.7547923957623055
deepseek,mean_pool_hs,0,False,II,0.7033473253250122,0.6981095671764249,0.6984704349904799
deepseek,mean_pool_hs,0,False,SI,0.706169068813324,0.6865868755080673,0.7116604264143831
deepseek,mean_pool_hs,0,True,DI,0.00024006259627640247,0.005397802684456141,0.005425458266837242
deepseek,mean_pool_hs,0,True,II,-0.02681620419025421,-0.01472493261098034,-0.01465777650974828
deepseek,mean_pool_hs,0,True,SI,-0.017212707549333572,-0.0061693536117670925,-0.006127618381268276
deepseek,mean_pool_hs,1,False,DI,0.9909166097640991,0.9903488917565868,0.9911580853919715
deepseek,mean_pool_hs,1,False,II,0.989243745803833,0.9888325935026623,0.98927717277041
deepseek,mean_pool_hs,1,False,SI,0.9889246821403503,0.9881734964992623,0.9892637215555514
deepseek,mean_pool_hs,1,True,DI,0.001819474040530622,0.009006869979202768,0.009025050391724276
deepseek,mean_pool_hs,1,True,II,-0.02151699736714363,-0.009930949657973831,-0.009868385063155466
deepseek,mean_pool_hs,1,True,SI,-0.015107845887541771,-0.0049376673996448265,-0.004886884531588681
deepseek,mean_pool_hs,2,False,DI,0.9994663596153259,0.999082896456014,0.9996719859395413
deepseek,mean_pool_hs,2,False,II,0.9994702339172363,0.9991203314604393,0.9996417361512111
deepseek,mean_pool_hs,2,False,SI,0.9987393617630005,0.9981872586416968,0.9991102515138303
deepseek,mean_pool_hs,2,True,DI,0.018116619437932968,0.026795653626322746,0.026798653980538985
deepseek,mean_pool_hs,2,True,II,0.013807368464767933,0.012182135134935494,0.012217044485641121
deepseek,mean_pool_hs,2,True,SI,0.0005563934682868421,-0.0013329187640920281,-0.0012195076551841677
deepseek,mean_pool_hs,3,False,DI,0.9994266033172607,0.9990437058047557,0.999627794050685
deepseek,mean_pool_hs,3,False,II,0.9994173049926758,0.9990800918774526,0.9995832820493573
deepseek,mean_pool_hs,3,False,SI,0.9986953139305115,0.9981442888333649,0.9990622745966937
deepseek,mean_pool_hs,3,True,DI,0.0268577728420496,0.03509693592786789,0.035104016243527505
deepseek,mean_pool_hs,3,True,II,0.011605702340602875,0.015698263421654732,0.015716314354349305
deepseek,mean_pool_hs,3,True,SI,-0.0009488817304372787,0.0027348503936082125,0.00273877050926639
deepseek,mean_pool_hs,4,False,DI,0.9993419051170349,0.9989401870046387,0.999542986719598
deepseek,mean_pool_hs,4,False,II,0.9992914795875549,0.9989856018125747,0.9994622415718457
deepseek,mean_pool_hs,4,False,SI,0.9986093640327454,0.9980731069855648,0.9989731593709728
deepseek,mean_pool_hs,4,True,DI,0.039357978850603104,0.044989943504333496,0.04500178497350262
deepseek,mean_pool_hs,4,True,II,0.010426783934235573,0.017916793003678363,0.01795340626087468
deepseek,mean_pool_hs,4,True,SI,0.000492977793328464,0.006095883436501026,0.006116760639889774
deepseek,mean_pool_hs,5,False,DI,0.9992635846138,0.9988502122131653,0.9994574774315506
deepseek,mean_pool_hs,5,False,II,0.9991621971130371,0.9988735540226811,0.9993297425781499
deepseek,mean_pool_hs,5,False,SI,0.9985126852989197,0.9979756826533271,0.9988692359887734
deepseek,mean_pool_hs,5,True,DI,0.051120199263095856,0.05728097259998325,0.057300549357120784
deepseek,mean_pool_hs,5,True,II,0.011954110115766525,0.020296517759561598,0.020351475699555508
deepseek,mean_pool_hs,5,True,SI,0.003116988344117999,0.008092197589576244,0.00812445001114914
deepseek,mean_pool_hs,6,False,DI,0.9991165399551392,0.9986875172354216,0.9993160424069792
deepseek,mean_pool_hs,6,False,II,0.9988952875137329,0.9986156641719909,0.9990647342143697
deepseek,mean_pool_hs,6,False,SI,0.998311460018158,0.9977872151498975,0.9986642369040674
deepseek,mean_pool_hs,6,True,DI,0.06956370919942856,0.07406374067068104,0.07409452282680601
deepseek,mean_pool_hs,6,True,II,0.016646157950162888,0.02625600248575211,0.026283663613622194
deepseek,mean_pool_hs,6,True,SI,0.012583866715431213,0.017978137359023094,0.018016595096444418
deepseek,mean_pool_hs,7,False,DI,0.9989755749702454,0.998528551410688,0.9991729420174756
deepseek,mean_pool_hs,7,False,II,0.9986345767974854,0.9983387309520355,0.9988198910006143
deepseek,mean_pool_hs,7,False,SI,0.9981331825256348,0.9976290191274646,0.9984627059201957
deepseek,mean_pool_hs,7,True,DI,0.07503688335418701,0.08000676333904266,0.08000820814353274
